事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地,事業所電話,事業所FAX,指定後状態名,指定年月日,法人名,法人所在地
0820300408,共同生活援助,なでしこ,3000013,茨城県土浦市神立町667-28,029-831-1686,029-831-8636,提供中,2014/4/1,社会福祉法人　尚恵学園,茨城県土浦市神立町1791
0821200151,共同生活援助,ひらそる,3130222,茨城県常陸太田市松平町２５２－１,0294-85-2134,0294-70-5033,提供中,2014/4/1,社会福祉法人　朋友会,茨城県常陸太田市松平町３６４番１
0821400058,共同生活援助,共同生活援助事業所　リバティ・サポートセンターゆい,3180034,茨城県高萩市大字高萩45番地1,0293-23-6890,0293-23-6897,提供中,2014/4/1,社会福祉法人親交会,茨城県高萩市大字若栗字井戸上125番地1
0821600293,共同生活援助,ビレッジ　ダッシュ,3091722,茨城県笠間市平町122番地4,0296-78-5287,0296-73-4224,提供中,2014/4/1,特定非営利活動法人　茨城依存症回復支援協会,茨城県笠間市平町122番地4
0821700200,共同生活援助,ケアホーム夢未来,3001525,茨城県取手市桜が丘4-1391-76,0297-83-2266,0297-82-5880,提供中,2014/4/1,社会福祉法人　身障者ポニーの会,茨城県取手市高須2148
0821700291,共同生活援助,グループホームつつじ,3020034,茨城県取手市戸頭7-7-19-101,0297-78-3211,0297-78-9621,提供中,2014/4/1,社会福祉法人　取手市社会福祉協議会,茨城県取手市寺田5144-3
0821800109,共同生活援助,オーロラ,3060515,茨城県坂東市沓掛1805-1,0297-44-0722,0297-44-0722,提供中,2014/4/1,特定非営利活動法人　オンリーワン,茨城県坂東市沓掛1805-1
0821800273,共同生活援助,桐木ケアホーム,3060636,茨城県坂東市桐木644-13,0297-36-3385,0297-36-3385,提供中,2014/4/1,社会福祉法人　修倫福祉会,茨城県坂東市神田山2208
0822000352,共同生活援助,共同生活援助事業所　ほっとハウス,3004204,茨城県つくば市作谷2915番1,029-867-0025,029-867-1968,提供中,2014/4/1,社会福祉法人　筑峯学園,茨城県つくば市平沢655番地の4
0822000469,共同生活援助,みもりの杜,3004245,茨城県つくば市水守859-7,029-850-9010,029-850-9033,提供中,2014/4/1,社会福祉法人　にいはり福祉会,茨城県土浦市小高572-1
0822000600,共同生活援助,ケアホーム　つくば根,3004224,茨城県つくば市小和田３８３番地１,029-867-1200,029-867-4744,提供中,2014/4/1,社会福祉法人　つくば根学園,茨城県つくば市小和田３６６番地
0822500138,共同生活援助,御前山ホーム,3114615,茨城県常陸大宮市下伊勢畑１１７７－３,0295-55-3231,0295-55-3231,提供中,2014/4/1,社会福祉法人　慈徳会,茨城県常陸大宮市国長９９３
0822500146,共同生活援助,障害者グループホーム　花の家,3193114,茨城県常陸大宮市野上１９２４－２,0295-54-4893,0295-54-4889,提供中,2014/4/1,社会福祉法人二十一世紀会,茨城県常陸大宮市野上１７７１－３
0822600193,共同生活援助,よしのホーム,3110134,茨城県那珂市飯田2529-1,029-295-9100,029-295-9300,提供中,2014/4/1,社会福祉法人　実誠会,茨城県那珂市飯田2529-1
0823000112,共同生活援助,ケアホーム　ひなたぼっこ,3113832,茨城県行方市麻生1171-1,0299-77-8080,0299-77-9889,提供中,2014/4/1,有限会社　ひなた,茨城県行方市蔵川411番地
0823100177,共同生活援助,希望のうめ,3113157,茨城県東茨城郡茨城町小幡北山2765番61,029-291-2150,029-292-8328,提供中,2014/4/1,社会福祉法人　梅の里,茨城県東茨城郡茨城町小幡北山2766番36
0823800230,共同生活援助,かすみ,3000331,茨城県稲敷郡阿見町阿見1995-1,029-886-5595,029-886-5596,提供中,2014/4/1,社会福祉法人　木犀会,茨城県笠間市鯉淵字十ノ割6266番地185
0823800271,共同生活援助,グループホーム　レインボー,3000424,茨城県稲敷郡美浦村受領字刈満田961番地1,029-885-5155,029-885-5808,提供中,2014/4/1,社会福祉法人　美しの森,茨城県稲敷郡美浦村受領字八枚957番地
0824400063,共同生活援助,ケアホーム　響,3001604,茨城県北相馬郡利根町横須賀153－3,0297-61-8500,0297-61-8501,提供中,2014/4/1,株式会社　モデンナ・ケアサービス,茨城県稲敷郡阿見町鈴木136番地3
0827100181,共同生活援助,上の原学園成人寮,3091226,茨城県桜川市上野原地新田159-1,0296-75-2509,0296-76-2020,提供中,2014/4/1,社会福祉法人　上の原学園,茨城県桜川市上野原地新田159-1
0827200072,共同生活援助,さくらの丘,3111123,茨城県水戸市下入野町1923-3,0291-37-4811,0291-37-4813,提供中,2014/4/1,社会福祉法人　勇成会,茨城県水戸市下入野町1924番地1
0827400177,共同生活援助,こだま,3113433,茨城県小美玉市高崎1374-2,0299-26-8808,0299-26-8866,提供中,2014/4/1,社会福祉法人　敬山会,茨城県小美玉市上玉里字桜山50番地124
0820400596,共同生活援助,まくらがの里グループホームどんぐり,3060226,茨城県古河市女沼332番地1,0280-97-1123,0280-98-0220,提供中,2014/3/31,株式会社　まくらがの里,茨城県古河市上大野1517番地1
0821500139,共同生活援助,グループホームひろはし,3191702,茨城県北茨城市大津町2518番地,0293-46-7701,0293-46-5113,提供中,2014/3/31,医療法人　誠之会,茨城県北茨城市大津町2592番地
0822000691,共同生活援助,グループホーム朝幸の郷,3050861,茨城県つくば市谷田部1144-37,029-836-5037,029-836-5037,提供中,2014/3/31,特定非営利活動法人エフ・エイチ・ピー協会,茨城県筑西市下中山407番地6
0822600391,共同生活援助,グループホーム　ナザレ園,3192103,茨城県那珂市中里361-5,029-212-5350,029-212-5350,提供中,2014/3/31,社会福祉法人ナザレ園,茨城県那珂市中里361番地2
0820101673,共同生活援助,ケアホームたじま,3190301,茨城県水戸市田島町792番地1,029-353-7411,029-353-7412,提供中,2014/2/1,社会福祉法人　木犀会,茨城県笠間市鯉淵字十ノ割6266番185
0820101558,共同生活援助,みらい館,3100031,茨城県水戸市大工町３丁目６番１１号,029-224-5630,029-244-5631,提供中,2013/7/1,特定非営利活動法人　未来会,茨城県水戸市西原二丁目10番57号
0822700514,共同生活援助,やまびこ園,3080825,茨城県筑西市下中山1149,0296-48-9921,0296-48-9931,提供中,2013/7/1,株式会社稲善,茨城県筑西市下中山３８１番地１
0820400554,共同生活援助,グループホーム　こうやの森,3060214,茨城県古河市高野1443番地1,0280-23-3955,0280-23-3956,提供中,2013/5/1,特定非営利活動法人　愛・ＬＯＶＥ・みらい,茨城県古河市釈迦278番地1
0822400123,共同生活援助,ケアホーム　もりや,3020104,茨城県守谷市久保ケ丘1丁目22-17,0297-46-0113,0297-46-0114,提供中,2013/5/1,社会福祉法人　木犀会,茨城県笠間市鯉渕字十ノ割6266番185
0821600350,共同生活援助,かつらぎホーム,3091611,茨城県笠間市笠間2764-3,0296-72-9369,0296-73-4150,提供中,2013/4/1,株式会社　かつらぎ,茨城県笠間市笠間2913
0822700480,共同生活援助,グループホーム　歩実,3004542,茨城県筑西市吉田636番20,0296-48-6001,0296-52-7650,提供中,2013/4/1,特定非営利活動法人歩実,茨城県筑西市吉田636番12
0822800165,共同生活援助,グループホーム「しらゆき」,3150075,茨城県かすみがうら市中志筑2411-1,0299-59-5290,0299-59-5912,提供中,2013/4/1,社会福祉法人　川惣会,茨城県かすみがうら市中志筑2409-1
0827200163,共同生活援助,メイプルホーム　ほこた,3111503,茨城県鉾田市徳宿1809-14,0291-36-5684,0291-36-5691,提供中,2013/4/1,社会福祉法人誠仁会,茨城県鉾田市徳宿1809番地11
0822800140,共同生活援助,ひめりんご,3150054,茨城県かすみがうら市稲吉5丁目1-47,029-875-4399,029-875-4399,提供中,2013/3/1,特定非営利活動法人新和会,茨城県かすみがうら市稲吉南三丁目２番１号
0822200184,共同生活援助,OneS　Life,3140031,茨城県鹿嶋市宮中３４７番地６,0299-94-8937,0299-94-8938,提供中,2013/2/1,株式会社　ブリッジタウン,茨城県鹿嶋市宮中３４７番地６
0820200624,共同生活援助,ビレッジ一番街,3170052,茨城県日立市東滑川町5丁目10番5号,0294-44-7707,0294-32-7789,提供中,2013/1/1,社会福祉法人　ひたちの森会,茨城県日立市東滑川町5丁目10番3号
0820500262,共同生活援助,グループホーム　たいよう,3150121,茨城県石岡市真家2502番地282,0299-46-7532,0299-46-5451,提供中,2013/1/1,特定非営利活動法人　まいえの里,茨城県石岡市真家1649番地25
0822700423,共同生活援助,サポートシェアハウスいなしき,3000743,茨城県稲敷市曲渕3-1,0299-77-5260,0299-77-5261,提供中,2012/7/1,特定非営利活動法人ＳＭＳＣ,茨城県稲敷市曲渕3-1
0821900313,共同生活援助,みのるの郷ケアホーム,3001217,茨城県牛久市さくら台1-76-22,029-886-8432,029-869-8687,提供中,2012/6/1,社会福祉法人　新世会,茨城県ひたちなか市磯崎町4555-1
0820300416,共同生活援助,グループホーム　オアシス,3000064,茨城県土浦市東若松町3969,029-821-3100,029-821-3122,提供中,2012/4/1,医療法人　霞水会,茨城県土浦市東若松町3969
0820400372,共同生活援助,コスモス,3060013,茨城県古河市東本町４－２－８１,0280-30-0119,0280-30-0119,提供中,2012/4/1,医療法人　慈政会,茨城県古河市東本町四丁目2番2号
0820400398,共同生活援助,きずな,3060204,茨城県古河市下大野鍛冶打737番地13,0280-91-0153,0280-91-0152,提供中,2012/4/1,社会福祉法人パステル,栃木県小山市大字乙女625番地2
0822700407,共同生活援助,ケアホーム藍藍,3040056,茨城県下妻市長塚乙11－3,0296-43-8128,0296-30-5118,提供中,2012/4/1,株式会社ほーむけあいしやま,茨城県筑西市玉戸1602番地の10
0820800209,共同生活援助,グループホーム古城の家,3010834,茨城県龍ケ崎市古城3204,0297-85-4304,0297-84-6717,提供中,2012/1/1,社会福祉法人ゆっこら,茨城県龍ケ崎市字古城3204番地
0821600327,共同生活援助,グループホーム「颯（ＳＯＯ）」,3100911,茨城県水戸市見和三丁目１４５５番地の１,029-243-8595,029-243-8595,提供中,2011/8/1,社会福祉法人　光風会,茨城県水戸市見川一丁目1183番地の2
0821600319,共同生活援助,ケアホームかさま,3091614,茨城県笠間市寺崎161-1,0296-73-5507,0296-72-3662,提供中,2011/7/1,社会福祉法人　木犀会,茨城県笠間市鯉渕字十ノ割6266番185
0820200558,共同生活援助,共同生活援助事業所　まゆみⅡ,3160001,茨城県日立市諏訪町1丁目17-13,0294-34-2118,0294-34-2118,提供中,2011/6/1,医療法人圭愛会,茨城県日立市大久保町2409番地の3
0821900263,共同生活援助,HIDAMARI,3001222,茨城県牛久市南四丁目２２番地２５,029-873-4232,029-873-4232,提供中,2011/4/1,株式会社　創想,茨城県牛久市南四丁目２２番地２５
0821900230,共同生活援助,グループホーム　希望の峰,3001237,茨城県牛久市田宮二丁目50番1号,029-830-8451,029-830-8448,提供中,2010/8/1,株式会社　泰平,茨城県牛久市田宮2丁目50番1号
0820200491,共同生活援助,ひたちの森サポートハウス,3191413,茨城県日立市小木津町1019,0294-43-1316,,提供中,2010/5/1,医療法人　永慈会,茨城県日立市小木津町966
0827400110,共同生活援助,あけぼの里,3113433,茨城県小美玉市高崎2217-3,0299-26-7111,0299-26-1275,提供中,2010/5/1,社会福祉法人　聖隷会,茨城県小美玉市高崎2206-1
0820101160,共同生活援助,スマイルホーム見和,3100911,茨城県水戸市見和三丁目568番地3,029-251-5882,029-212-3004,提供中,2010/4/1,特定非営利活動法人　喜友会,茨城県水戸市見和三丁目568番地3
0820200426,共同生活援助,共同生活援助事業所　グループホーム　まゆみ,3160012,茨城県日立市大久保町3丁目12-22,0294-34-2118,0294-34-2118,提供中,2010/1/1,医療法人圭愛会,茨城県日立市大久保町2409番地の3
0822600201,共同生活援助,障害者グループホームあおいとり,3110105,茨城県那珂市菅谷3023-4,029-353-2180,029-353-2170,提供中,2009/11/1,有限会社　あおいとり,茨城県那珂市飯田2190-7
0820200400,共同生活援助,けやきホーム,3191222,茨城県日立市久慈町5丁目23番3,0294-53-2331,0294-53-2332,提供中,2009/9/1,日立市,茨城県日立市助川町1丁目1番1号
0822000428,共同生活援助,ひまわりホーム,3050053,茨城県つくば市小野川１２－３８,029-828-7211,029-839-0511,提供中,2009/9/1,特定非営利活動法人艫づな会,茨城県つくば市上横場2236番地1
0821100187,共同生活援助,グループホーム　まつの木,3030043,茨城県常総市内守谷町３７２１－２,0297-27-0721,0297-27-3402,提供中,2009/6/1,医療法人　仁愛会,茨城県常総市内守谷町3770-7
0820300309,共同生活援助,グループホームはなまる,3000823,茨城県土浦市小松1-21-5,029-886-6600,029-886-6602,提供中,2009/5/1,株式会社　乙戸の杜,茨城県土浦市小松一丁目21番9号
0822100210,共同生活援助,グループホーム　チェリー館,3120032,茨城県ひたちなか市大字津田2530番地3,029-219-4078,029-219-4078,提供中,2009/1/1,特定非営利活動法人　チェリー館,茨城県ひたちなか市大字津田2530番地3
0820700052,共同生活援助,ケアホームヴィラ結城,3070021,茨城県結城市大字上山川109番地,0296-35-6056,0296-35-6131,提供中,2008/11/1,特定非営利活動法人セラヴィ,茨城県結城市大字上山川１１１番地
0824300107,共同生活援助,自立支援センターきぼう　,3060414,茨城県猿島郡境町内門718-1,0280-33-8295,0280-33-8296,提供中,2008/11/1,株式会社　岩井企画　,茨城県坂東市沓掛３６８２番地
0820100998,共同生活援助,ケアホームスマイル,3100844,茨城県水戸市住吉町148-8,029-212-8324,029-212-8325,提供中,2008/10/1,社会福祉法人　木犀会,茨城県笠間市鯉渕字十ノ割6266番185
0821100161,共同生活援助,グループホーム柏木寮,3030042,茨城県常総市坂手町1231-3,0297-27-1419,0297-27-4633,提供中,2008/10/1,社会福祉法人かしわ学園,茨城県常総市坂手町1231-3
0821500089,共同生活援助,グループホーム　アーシャ,3191542,茨城県北茨城市磯原町本町２－４－７,0293-42-5455,0293-42-5445,提供中,2008/9/1,特定非営利活動法人北茨城市手をつなぐ親の会,茨城県北茨城市磯原町本町２－４－７
0822500161,共同生活援助,慈雍厚生園,3114503,茨城県常陸大宮市野口1294,0295-55-2727,0295-55-2729,提供中,2008/9/1,社会福祉法人　仁川会,茨城県常陸大宮市野口1294
0823400080,共同生活援助,グループホーム　ゆたりま,3193526,茨城県久慈郡大子町大字大子字十二所前412番地1,0295-72-5933,0295-72-5881,提供中,2008/7/1,医療法人直志会,茨城県久慈郡大子町大字北田気字広林76番地
0821600236,共同生活援助,かしの木　笠間,3190206,茨城県笠間市安居字下平３１４０番地,0299-45-6001,0299-45-6077,提供中,2008/4/1,社会福祉法人　やまびこの里福祉会,茨城県東茨城郡城里町小勝字大藤１７８０番地２２
0822000345,共同生活援助,つくばライフサポートセンター,3002645,茨城県つくば市上郷7563-67,029-847-7980,029-847-7981,提供中,2008/4/1,社会福祉法人創志会,茨城県つくば市上郷7563番地67
0822200127,共同生活援助,鹿島の里,3140017,茨城県鹿嶋市旭ケ丘１－５－４,0299-82-2169,0299-82-2169,提供中,2008/4/1,公益財団法人　鹿島病院,茨城県鹿嶋市平井１１２９－２
0820100790,共同生活援助,グリーンホーム,3100913,茨城県水戸市見川町2563番地の121,029-241-3738,029-297-6522,提供中,2007/4/1,特定非営利活動法人　グリーンホーム,茨城県水戸市見川町2563番地の121
0820200327,共同生活援助,ひたち育成会生活ホーム,3191224,茨城県日立市南高野町2-10-24,0294-54-1217,0294-54-1116,提供中,2007/4/1,社会福祉法人　ひたち育成会,茨城県日立市南高野町2-10-24
0820300234,共同生活援助,ざっきょやホーム,3000031,茨城県土浦市東崎町６番２９号,029-825-6537,029-825-6531,提供中,2007/4/1,特定非営利活動法人　ざっきょやくらぶ,茨城県土浦市東崎町６番２９号
0820700045,共同生活援助,あすなろ園,3070021,茨城県結城市上山川202番地,0296-35-1330,0296-35-1360,提供中,2007/4/1,社会福祉法人　希望会,茨城県結城市大字上山川202番地
0822600136,共同生活援助,グループホーム　葵,3192105,茨城県那珂市古徳706番地,029-296-0310,029-219-7766,提供中,2007/4/1,特定非営利活動法人　スマイル愛昌園,茨城県那珂市古徳706番地
0822900254,共同生活援助,ひばり寮,3140115,茨城県神栖市知手3823,0299-96-1831,0299-96-4141,提供中,2007/4/1,社会福祉法人　神栖啓愛園,茨城県神栖市知手字柳堀新開3653番地1
0821600186,共同生活援助,渡辺福祉サポートセンター,3091703,茨城県笠間市鯉淵6342番地29,0296-78-5105,0296-71-5075,提供中,2006/12/1,渡辺福祉サポート株式会社,茨城県笠間市鯉淵6342番地29
0820100147,共同生活援助,ひらす館,3100853,茨城県水戸市平須町1885-10,0296-72-9346,0296-72-9981,提供中,2006/10/1,社会福祉法人　城北福祉会,茨城県笠間市大渕524-1
0820100162,共同生活援助,ふたばホーム,3100853,茨城県水戸市平須町1225-3,029-244-5556,029-291-4535,提供中,2006/10/1,特定非営利活動法人オプティマム,茨城県水戸市平須町1225番地3
0820100220,共同生活援助,はっぴぃハウスかくらい,3114163,茨城県水戸市加倉井町104,029-254-7814,029-257-7376,提供中,2006/10/1,社会福祉法人　ひだまり会,茨城県水戸市加倉井町104番地
0820100253,共同生活援助,グループホームやまと,3190323,茨城県水戸市鯉淵町5065番地の89,029-259-5843,029-212-3605,提供中,2006/10/1,特定非営利活動法人　並木会,茨城県水戸市鯉淵町5065番地の89
0820100303,共同生活援助,水戸どんぐりの家,3100901,茨城県水戸市田野町831-1,029-229-8860,029-284-1822,提供中,2006/10/1,社会福祉法人　育実会,茨城県水戸市田野町831-1
0820100352,共同生活援助,グループホーム千波寮,3100851,茨城県水戸市千波町2817-5,029-240-1060,029-240-1586,提供中,2006/10/1,医療法人　南山会,茨城県水戸市酒門町中千束1577-10
0820100360,共同生活援助,グループホーム　さつき,3114144,茨城県水戸市開江町1988-1,029-252-8977,029-350-1028,提供中,2006/10/1,特定非営利活動法人　朋秀会,茨城県水戸市開江町1988-1
0820100378,共同生活援助,あすなろホーム,3190315,茨城県水戸市内原町1427-7,029-297-3225,029-297-3227,提供中,2006/10/1,社会福祉法人　茨城県社会福祉事業団,茨城県水戸市杉崎町1460番地
0820100386,共同生活援助,ユーアイホーム,3100827,茨城県水戸市吉沼町1768-1,029-239-5062,029-239-5063,提供中,2006/10/1,社会福祉法人　ユーアイ村,茨城県水戸市吉沼町1839番地1
0820100667,共同生活援助,森のふくろう,3190306,茨城県水戸市杉崎町1555-1,029-259-7606,029-350-6161,提供中,2006/10/1,株式会社　栄光通商,茨城県水戸市杉崎町1263番地の1
0820300135,共同生活援助,ぼだいじゅ,3000013,茨城県土浦市神立町1791,029-831-1686,029-831-8636,提供中,2006/10/1,社会福祉法人　尚恵学園,茨城県土浦市神立町1791
0820400034,共同生活援助,桜寮,3060233,茨城県古河市西牛谷737,0280-98-2231,0280-98-4866,提供中,2006/10/1,医療法人　共助会,茨城県古河市中央町1-5-1
0820400133,共同生活援助,みのりホーム,3060101,茨城県古河市尾崎５７０８番地,0280-76-7733,0280-75-1080,提供中,2006/10/1,社会福祉法人　芳香会,茨城県古河市上大野698番地
0820500106,共同生活援助,アムール,3150034,茨城県石岡市東田中393-1,0299-26-1271,0299-26-7091,提供中,2006/10/1,医療法人　聖和会,茨城県小美玉市高崎2032-6
0820500122,共同生活援助,知的障害者授産施設　しろがね苑,3150005,茨城県石岡市鹿の子4丁目16番52号,0299-22-3215,0299-22-3220,提供中,2006/10/1,社会福祉法人白銀会,茨城県石岡市鹿の子四丁目16番52号
0820500163,共同生活援助,ステップハート,3150048,茨城県石岡市三村2511-37,0299-36-1313,0299-36-1800,提供中,2006/10/1,社会福祉法人　陽山会,茨城県石岡市三村字長峰2595番地の2
0820500197,共同生活援助,サークル・ホームⅠ,3150116,茨城県石岡市柿岡3806-3,0299-43-3434,0299-43-6498,提供中,2006/10/1,医療法人　滝田会,茨城県石岡市柿岡3787
0820800092,共同生活援助,清峰荘,3010804,茨城県龍ケ崎市長峰町1080,0297-64-1152,0297-64-1151,提供中,2006/10/1,医療法人社団　八峰会,茨城県龍ケ崎市貝原塚町3690-2
0820800134,共同生活援助,友歩,3010837,茨城県龍ケ崎市根町3321-12,0297-64-8820,0297-64-8820,提供中,2006/10/1,特定非営利活動法人　愛in龍ヶ崎,茨城県龍ケ崎市根町3321-12
0821600079,共同生活援助,愛の里,3091601,茨城県笠間市大橋一丁田12,0296-72-8131,0296-72-8771,提供中,2006/10/1,社会福祉法人　朝日会,茨城県笠間市大橋一丁目12
0821600178,共同生活援助,ケアホームクローバー,3091703,茨城県笠間市鯉淵6266-143,0296-77-3020,0296-77-3093,提供中,2006/10/1,社会福祉法人　木犀会,茨城県笠間市鯉淵字十ノ割6266番地185
0821800075,共同生活援助,マルタホーム,3060515,茨城県坂東市沓掛5761-10,0297-44-2116,0297-44-2116,提供中,2006/10/1,社会福祉法人　修倫福祉会,茨城県坂東市神田山2208
0821800083,共同生活援助,グループホーム春詠・山遥・青杜,3060515,茨城県坂東市沓掛4484-6,0297-30-3322,0297-30-3323,提供中,2006/10/1,医療法人　清風会,茨城県坂東市沓掛411番地
0821800125,共同生活援助,もみじ寮,3060515,茨城県坂東市沓掛4947-2,0297-44-0768,0297-44-0465,提供中,2006/10/1,社会福祉法人　清風福祉会,茨城県坂東市沓掛337
0821800166,共同生活援助,慈光ホーム,3060504,茨城県坂東市生子1617,0280-88-0301,0280-88-1178,提供中,2006/10/1,社会福祉法人　慈光学園,茨城県坂東市生子1617
0821900107,共同生活援助,すばる,3001237,茨城県牛久市田宮三丁目1番地18,029-873-8883,029-886-5161,提供中,2006/10/1,特定非営利活動法人　おおぞら,茨城県牛久市田宮三丁目1番地18
0822000196,共同生活援助,自然生ホーム,3004211,茨城県つくば市臼井1623-18,029-866-2192,029-866-2192,提供中,2006/10/1,特定非営利活動法人　自然生クラブ,茨城県つくば市臼井1623番地18
0822000220,共同生活援助,サバー,3002645,茨城県つくば市上郷7563-67,029-875-5251,029-875-5341,提供中,2006/10/1,社会福祉法人創志会,茨城県つくば市上郷7563番地67
0822000253,共同生活援助,こだまホーム,3001252,茨城県つくば市高見原2-8-68,029-874-1197,029-874-1197,提供中,2006/10/1,社会福祉法人　ふたば会,茨城県つくば市高見原2-8-12
0822100087,共同生活援助,グループホーム　はまぎく,3111231,茨城県ひたちなか市柳沢2840-1,029-264-1411,029-264-1422,提供中,2006/10/1,社会福祉法人はまぎくの会,茨城県ひたちなか市柳沢字坂下2831
0822200069,共同生活援助,中台育心園,3112213,茨城県鹿嶋市中431-20,0299-69-2222,0299-69-2237,提供中,2006/10/1,社会福祉法人みのり会,茨城県鹿嶋市大字中431番地20
0822200077,共同生活援助,鹿島育成園生活支援センター,3140016,茨城県鹿嶋市国末1539-1,0299-82-6464,0299-83-3261,提供中,2006/10/1,社会福祉法人　鹿島育成園,茨城県鹿嶋市国末1539番1
0822600078,共同生活援助,くりの木,3110117,茨城県那珂市豊喰1152-1,029-295-7652,029-295-7681,提供中,2006/10/1,医療法人社団　有朋会,茨城県那珂市豊喰５０５
0822700126,共同生活援助,ピアしらとり,3080862,茨城県筑西市小塙861,0296-25-0833,0296-22-5973,提供中,2006/10/1,社会福祉法人　征峯会,茨城県筑西市上平塚５９０－１
0822700134,共同生活援助,さぽーとハウス　けやき,3010902,茨城県稲敷市上根本3551,0297-87-0021,0297-87-0023,提供中,2006/10/1,医療法人精光会,茨城県稲敷市上根本3474番地
0822700167,共同生活援助,下館ﾒﾝﾀﾙｻﾎﾟｰﾄｾﾝﾀｰ,3080843,茨城県筑西市野殿1137番地4,0296-24-5540,0296-24-5540,提供中,2006/10/1,医療法人社団　平仁会,茨城県筑西市野殿1131番地
0822700217,共同生活援助,グループホームあんずの里,3080811,茨城県筑西市茂田1735-2,0296-22-5048,0296-24-2078,提供中,2006/10/1,社会福祉法人　慶育会,茨城県筑西市茂田1740番地
0822700274,共同生活援助,太白荘,3000621,茨城県稲敷市阿波１２５９－１,029-894-4567,029-894-3611,提供中,2006/10/1,医療法人社団　広文会,茨城県稲敷市阿波1299
0822800082,共同生活援助,ほびきハウス,3000213,茨城県かすみがうら市牛渡4019-5,029-898-3661,029-898-3760,提供中,2006/10/1,社会福祉法人　明清会,茨城県かすみがうら市牛渡5513-1
0822900197,共同生活援助,鹿島ダルク・シャロームハウス,3140143,茨城県神栖市神栖1-6-26,0299-93-5507,0299-93-5508,提供中,2006/10/1,特定非営利活動法人　ＫＡＳＨＩＭＡアディクションサポートセンター,茨城県神栖市神栖一丁目6番26号
0823100086,共同生活援助,報恩会グループホーム　すだち荘,3113122,茨城県東茨城郡茨城町上石崎4698,029-293-7155,029-293-6062,提供中,2006/10/1,財団法人　報恩会,茨城県東茨城郡茨城町上石崎4698
0823300025,共同生活援助,捜真寮,3191102,茨城県那珂郡東海村石神内宿2382-1,029-306-0068,029-282-1413,提供中,2006/10/1,社会福祉法人　愛信会,茨城県那珂郡東海村石神内宿1213
0823300033,共同生活援助,共同生活援助事業所　幸の実園,3191102,茨城県那珂郡東海村石神内宿1213,029-282-0644,029-282-0433,提供中,2006/10/1,社会福祉法人　愛信会,茨城県那珂郡東海村石神内宿1213
0824200034,共同生活援助,あじさいホーム,3003561,茨城県結城郡八千代町平塚4799-1,0296-48-2924,0296-48-2924,提供中,2006/10/1,社会福祉法人　共生社,茨城県古河市鴻巣1179
0827100033,共同生活援助,つばさ,3004426,茨城県桜川市真壁町下谷貝375-2,0296-55-0928,0296-55-0917,提供中,2006/10/1,社会福祉法人　紫峰会,茨城県桜川市真壁町下谷貝1595-2
0827300021,共同生活援助,グループホーム　ボランペの家,3002307,茨城県つくばみらい市板橋2147-4,0297-57-0756,0297-38-6551,提供中,2006/10/1,社会福祉法人ゆっこら,茨城県龍ケ崎市字古城3204番地
0827400045,共同生活援助,グループホーム玉里の里,3113433,茨城県小美玉市高崎冨士峰1824-500,0299-27-0002,0299-27-1181,提供中,2006/10/1,社会福祉法人　聖隷会,茨城県小美玉市高崎2206-1
0827100108,共同生活援助,真壁厚生学園,3004422,茨城県桜川市真壁町亀熊852,0296-54-2578,0296-54-2577,提供中,2006/7/1,社会福祉法人　筑紫会,茨城県桜川市真壁町亀熊1464-1