事業所番号,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,事業所FAX,指定後状態名,指定年月日,指定有効期限日,法人(設置者)名,法人(設置者)〒,法人(設置者)所在地1,法人(設置者)所在地2,法人(設置者)所在地3,法人(設置者)電話
2623000060,ケアホーム　かざぐるま,6170853,京都府長岡京市,奥海印寺火ノ尾１７－３,,075-953-9212,075-953-9215,提供中,2014/4/1,2024/9/30,社会福祉法人　あらぐさ福祉会,6170813,京都府長岡京市,井ノ内広海道４２番３,,075-953-9212
2623000482,ケアホームいろどり,6170813,京都府長岡京市,井ノ内宮山１３－１,,075-957-2722,075-957-2729,提供中,2014/4/1,2024/6/30,社会福祉法人　あらぐさ福祉会,6170813,京都府長岡京市,井ノ内広海道４２番３,,075-953-9212
2623000615,あっとホーム,6170813,京都府長岡京市,井ノ内横ヶ端13-30,,075-957-5350,075-957-5350,提供中,2014/4/1,2026/3/31,特定非営利活動法人てくてく,6170825,京都府長岡京市,一文橋２丁目２５－２６,,075-957-5350
2623100019,ジョイフル東ノ口,6170003,京都府向日市,森本町東ノ口４－６,,075-932-7108,075-932-2240,提供中,2014/4/1,2024/9/30,社会福祉法人　向陵会,6170006,京都府向日市,上植野町五ノ坪１１－１,,075-935-7081
2623100027,ジョイフル山ノ下,6170006,京都府向日市,上植野町山ノ下13-78,,075-932-0104,075-932-2200,提供中,2014/4/1,2024/9/30,社会福祉法人　向陵会,6170006,京都府向日市,上植野町五ノ坪１１－１,,075-935-7081
2623300171,長岡ホーム,6270042,京都府京丹後市,峰山町長岡２８５番地,,0772-62-0391,0772-62-0607,提供中,2014/4/1,2021/10/31,社会福祉法人よさのうみ福祉会,6292314,京都府与謝郡与謝野町,岩屋600-6,,050-35320601
2623300197,ケアホーム「さくら荘」,6293101,京都府京丹後市,網野町網野２０９番地,,0772-72-5222,0772-72-5222,提供中,2014/4/1,2022/4/11,社会福祉法人あみの福祉会,6293101,京都府京丹後市,網野町網野5-7,,0772-79-2525
2623500341,第二いづみ荘,6191152,京都府木津川市,加茂町里東里４２,,0774-34-2123,0774-34-2277,提供中,2014/4/1,2023/3/31,（福）いづみ福祉会,6191143,京都府木津川市,加茂町観音寺石部８,,0774-76-7210
2624100018,共同ホームあんど,6078142,京都府京都市山科区,東野中井ノ上町1番地17,,075-592-0871,075-582-9820,提供中,2014/4/1,2024/9/30,社会福祉法人京都障害者福祉センター,6018321,京都府京都市南区,吉祥院西定成町３５番地　,,075-691-4101
2622800569,！－apartment,6100121,京都府城陽市,寺田樋尻５４－４泰西マンション,,0774-66-4618,0774-66-4618,提供中,2013/12/1,2025/11/30,社会福祉法人エクスクラメーション・スタイル・キョウト,6148182,京都府八幡市,上津屋南村７番地１,,075-983-8966
2623000557,グループホーム「サンヴィレッジ」,6170844,京都府長岡京市,調子一丁目１０－１０　サンアヴェニュー長岡京,,075-953-4120,075-954-1210,提供中,2013/9/17,2025/9/16,一般財団法人長岡記念財団,6170843,京都府長岡京市,友岡４丁目１８－１,,075-951-9201
2623400302,ゆきちゃんの家,6220042,京都府南丹市,園部町栄町３号３２－３,,0771-68-1221,0771-68-1222,提供中,2013/7/1,2025/6/30,株式会社　アットホーム,5691127,大阪府高槻市,西真上１丁目２８番１８号,,072-668-1180
2622600407,ホームいさ,6200804,京都府福知山市,石原三丁目７５番地,,0773-27-2666,0773-27-5255,提供中,2013/5/1,2025/4/30,社会福祉法人ふくちやま福祉会,6200928,京都府福知山市,字奥野部小字三ノ宮２５２番地,,0773-24-5245
2620281119,西陣会ホーム　となり,6028464,京都府京都市上京区,元誓願寺通り千本東入ル元四丁目４２４－１,,075-468-3068,075-441-5291,提供中,2013/4/1,2025/3/31,社会福祉法人西陣会,6028464,京都府京都市上京区,元誓願寺通千本東入ル元四丁目４３０番地の２,,075-451-8971
2623400286,グループホーム一歩,6010773,京都府南丹市,美山町三埜後田４番地１,,0771-75-9008,0771-75-9006,提供中,2013/4/1,2025/3/31,一般社団法人あゆみ会,6010773,京都府南丹市,美山町三埜後田４－１,,0771-75-9008
2624181141,グループホーム　道の家,6078217,京都府京都市山科区,勧修寺閑林寺８８番３,,075-593-6885,075-593-6885,提供中,2013/4/1,2025/3/31,特定非営利活動法人アースポイント,6078356,京都府京都市山科区,西野後藤１２番地５,,075-593-6885
2620781274,グループホームやちよ荘,6010251,京都府京都市右京区,京北周山町上ノ段１９－２,,075-852-1657,075-852-1657,提供中,2012/12/1,2024/11/30,特定非営利活動法人しゃくなげ,6010262,京都府京都市右京区,京北細野町東ノ垣内３０番地,,075-744-6209
2624100745,めぐみのさと,6078232,京都府京都市山科区,勧修寺福岡町312　スクエア22　103号,,075-591-1475,075-591-1475,提供中,2012/1/5,2024/1/4,株式会社サポートセンターめぐみ,6078222,京都府京都市山科区,勧修寺東堂田町１４５番地,,075-593-3461
2622000517,みんなのうち後野,6292404,京都府与謝郡与謝野町,字後野５４２－６,,0772-44-2277,0772-44-2288,提供中,2011/10/1,2023/9/30,特定非営利活動法人丹後福祉応援団,6292403,京都府与謝郡与謝野町,字加悦８０２－７,,0772-44-1122
2624100679,Ｌｉｆｅ３６５北花山,6078484,京都府京都市山科区,北花山西ノ野町１４番３６,,075-632-8480,075-632-8480,提供中,2011/6/8,2023/6/7,社会福祉法人新明塾,6050922,京都府京都市東山区,清閑寺山ノ内町28番地３,,075-551-3811
2621300298,ケアホームむくの家,6100253,京都府綴喜郡宇治田原町,大字贄田小字船戸３７番地,,0774-88-6969,0774-88-5846,提供中,2011/5/1,2023/4/30,社会福祉法人宇治田原むく福祉会,6100253,京都府綴喜郡宇治田原町,贄田船戸３８番地１,,0774-88-6969
2620900759,ピアハウス・ＨＩＳＨＩＫＡＷＡ,6128487,京都府京都市伏見区,羽束師菱川町３１４番地の１９,,075-200-8740,075-205-5276,提供中,2010/6/1,2022/5/31,特定非営利活動法人ＥＮＤＥＡＶＯＲ　ＪＡＰＡＮ,6170006,京都府向日市,上植野町久我田１の４,,075-921-7750
2623200579,グループホーム緑の風,6100311,京都府京田辺市,草内塔ノ上３５－１,,0774-64-3866,0774-64-3866,提供中,2009/8/17,2027/8/16,社会福祉法人共生福祉会,6100332,京都府京田辺市,田辺興戸御垣内９２・９９,,0774-63-7892
2620600029,テンダーホーム,6068364,京都府京都市左京区,新柳馬場仁王門下ル菊鉾町３２０－８,すみれ荘,075-752-4636,075-761-0955,提供中,2009/4/1,2024/9/30,社会福祉法人　菊鉾会,6068364,京都府京都市左京区,新柳馬場通仁王門下る菊鉾町３１６番地,,075-752-4636
2622100168,サンホーム,6260043,京都府宮津市,惣397番地,,0772-20-1212,0772-20-1177,提供中,2009/4/1,2027/3/31,社会福祉法人京都太陽の園,6220051,京都府南丹市,園部町横田前32,,0771-62-3364
2623200546,モモ,6100334,京都府京田辺市,田辺中央３－２－６プランドール１０２号室,,0774-65-9552,0774-68-1817,提供中,2009/3/1,2027/2/28,特定非営利活動法人ソーシャルアクション・パートナーシップ,6100332,京都府京田辺市,興戸御垣内５４　たけのこハウス,,0774-65-9952
2622800353,ユニティ芦原,6100114,京都府城陽市,市辺上芦原４１番地の９,,0774-52-5633,0774-52-1362,提供中,2009/2/1,2027/1/31,社会福祉法人京都梅花園,6100114,京都府城陽市,市辺石原１－２,,0774-52-1362
2621500574,丹波桜梅園みずほ寮,6220311,京都府船井郡京丹波町,和田大下33番地,,0771-88-0004,,提供中,2008/6/1,2026/5/31,社会福祉法人桜梅会,6220331,京都府船井郡京丹波町,中台桜梅37番地,,0771-86-0085
2620600375,岡崎ホーム,6068344,京都府京都市左京区,岡崎円勝寺町９１－６７,,075-802-2085,075-802-2093,提供中,2008/4/1,2026/3/31,社会福祉法人京都国際社会福祉協力会,6128027,京都府京都市伏見区,桃山町本多上野８４の８番地,,075-612-1506
2620800124,ホームななくさ,6050877,京都府京都市東山区,渋谷通大和大路東入二丁目上新シ町３７５番地,,075-561-1700,,提供中,2008/4/1,2026/3/31,社会福祉法人なづな学園,6050877,京都府京都市東山区,渋谷通大和大路東入二丁目上新シ町３７２番地,,075-561-3355
2622600068,社会福祉法人みつみ福祉会グループホームひよしの杜,6200878,京都府福知山市,堀３６３番地０の２,,0773-23-1245,0773-22-9150,提供中,2008/4/1,2025/7/31,社会福祉法人みつみ福祉会,6694132,兵庫県丹波市,春日町野村６５番地の１,,0795-75-0314
2623300122,丸山ホーム,6293558,京都府京丹後市,久美浜町丸山３０７番地,,0772-84-0686,0772-84-0686,提供中,2008/3/28,2026/3/31,社会福祉法人久美の浜福祉会,6293557,京都府京丹後市,久美浜町竹藤22-1,,0772-84-0759
2621800131,ゆらりんホーム,6230037,京都府綾部市,並松町寺下７－２,,0773-42-1239,0773-42-1239,提供中,2007/12/1,2025/11/30,社会福祉法人綾部福祉会,6230362,京都府綾部市,物部町博労坂26番地,,0773-49-0434
2622700280,グループホーム溝尻,6250041,京都府舞鶴市,溝尻中町２６番４,,0,,提供中,2007/10/21,2025/10/20,医療法人医誠会,5330022,大阪府大阪市東淀川区,菅原６－２－２５,,06-6326-1121
2621200282,グループホームあおば,6110021,京都府宇治市,宇治妙楽１７５番１１,,0774-21-6678,0774-21-4550,提供中,2007/9/26,2025/9/25,社会福祉法人不動園,6110022,京都府宇治市,白川東山１５番地,,0774-23-2000
2620100061,医療法人三幸会グループホーム北山,6060017,京都府京都市左京区,岩倉上蔵町１７７番地,,075-722-7151,075-722-7151,提供中,2007/7/2,2025/7/5,医療法人三幸会,6060017,京都府京都市左京区,岩倉上蔵町１２３番地,,075-721-1551
2620600060,京都マック・にこにこハウス,6068281,京都府京都市左京区,北白川丸山町１－６４,,075-741-7125,075-741-7126,提供中,2007/4/1,2025/3/31,特定非営利活動法人京都マック,6008363,京都府京都市下京区,大宮通丹波口下ル大宮三丁目１８番地,,075-741-7125
2622800015,社会福祉法人　南山城学園　グループホーム長池,6100112,京都府城陽市,長池里開60,,0774-52-1625,0774-52-1625,提供中,2007/4/1,2024/9/30,社会福祉法人　南山城学園,6100111,京都府城陽市,富野狼谷２番地１,,0774-52-0425
2624100034,グループホームわくわく,6078134,京都府京都市山科区,大塚北溝町２番地２,,075-592-6073,075-592-6074,提供中,2007/4/1,2025/3/31,ＮＰＯ法人わくわく,6078134,京都府京都市山科区,大塚北溝町２番地２,,075-592-6073
2620100012,地域の家,6038371,京都府京都市北区,衣笠東御所ノ内町５３の１,,075-467-3445,467-3445,提供中,2006/10/1,2024/9/30,特定非営利活動法人地域の家,6038371,京都府京都市北区,衣笠東御所ノ内町５３番地１,,075-467-3445
2620100038,神座ホーム,6038076,京都府京都市北区,上賀茂山本町６２,,075-724-3391,,提供中,2006/10/1,2024/9/30,社会福祉法人幸の会,6011123,京都府京都市左京区,静市市原町１１３６番地,,075-741-2993
2620100046,ゆいまあるグループホーム,6038002,京都府京都市北区,上賀茂神山７番地９,,075-724-5126,075-724-5126,提供中,2006/10/1,2024/9/30,特定非営利活動法人ゆいまある,6038002,京都府京都市北区,上賀茂神山７番９,,075-724-5126
2620100053,ハートフルトポスべテスダ,6038426,京都府京都市北区,紫竹西北町３３番地４,,075-492-7565,075-492-7565,提供中,2006/10/1,2024/9/30,特定非営利活動法人ハートフルトポス,6038437,京都府京都市北区,大宮開町２１番地,,075-432-8717
2620200010,グループホーム“あっと”,6028111,京都府京都市上京区,西堀川通桝屋町２８番地１棟１３２号,,075-812-5884,075-812-5884,提供中,2006/10/1,2024/9/30,社会福祉法人京都ワークハウス,6028253,京都府京都市上京区,黒門通下長者町上る南小大門町５６３番地,,075-451-3004
2620300018,グループホーム北部支援センター,6038221,京都府京都市北区,紫野上築山町３０－１,,075-441-5555,075-441-5555,提供中,2006/10/1,2024/9/30,社会福祉法人京都総合福祉協会,6060846,京都府京都市左京区,下鴨北野々神町２６番地,北山ふれあいセンター内,075-702-3730
2620300026,グループホーム賀陽,6048811,京都府京都市中京区,壬生賀陽御所町３７番地,,075-813-0508,075-813-0520,提供中,2006/10/1,2024/9/30,社会福祉法人京都光彩の会,6048854,京都府京都市中京区,壬生仙念町３０番地,京都市地域リハビリテーション推進センター１Ｆ,075-813-0501
2620500013,地域生活支援寮とうじ,6018441,京都府京都市南区,西九条南田町４３－４,,075-661-0480,075-661-0480,提供中,2006/10/1,2024/9/30,特定非営利活動法人無門社,6008123,京都府京都市下京区,三ノ宮町通上ノ口下る高宮町２３２番地１,,075-351-4200
2620600011,修光学園グループホーム,6068322,京都府京都市左京区,岡崎入江町４０－１,,075-762-0222,075-762-0255,提供中,2006/10/1,2024/9/30,社会福祉法人修光学園,6068033,京都府京都市左京区,修学院山添町８－２,,075-702-1700
2620600037,いずみの里ケアホーム,6068101,京都府京都市左京区,高野蓼原町４３番１,,075-722-8308,075-7228308,提供中,2006/10/1,2024/9/30,医療法人社団ウエノ診療所,6068205,京都府京都市左京区,田中上柳町２－１,,075-722-6608
2620700043,ハートフルトポスノア,6168102,京都府京都市右京区,太秦森ヶ東町３８番地３３,,075-432-8717,075-732-8718,提供中,2006/10/1,2024/9/30,特定非営利活動法人ハートフルトポス,6038437,京都府京都市北区,大宮開町２１番地,,075-432-8717
2620800017,ホームなづな,6050877,京都府京都市東山区,渋谷通大和大路東入二丁目上新シ町３６７番地,,075-561-3355,075-561-3356,提供中,2006/10/1,2024/9/30,社会福祉法人なづな学園,6050877,京都府京都市東山区,渋谷通大和大路東入二丁目上新シ町３７２番地,,075-561-3355
2620900031,京都ＤＡＲＣ・ネクサス,6120029,京都府京都市伏見区,深草西浦町４丁目６５,,075-645-7105,075-634-7869,提供中,2006/10/1,2024/9/30,特定非営利活動法人京都ＤＡＲＣ,6120029,京都府京都市伏見区,深草西浦町６丁目１－２,サンリッチ西浦１Ｆ,075-645-7105
2620900049,グループホーム　ひがしの,6011433,京都府京都市伏見区,石田大山町６３番地９,,075-571-0030,,提供中,2006/10/1,2024/9/30,医療法人　桜花会,6011433,京都府京都市伏見区,石田大山町７２番地,,075-571-0030
2620900056,グループホームともいき,6128435,京都府京都市伏見区,深草泓ノ壺町２５－３,,075-645-8088,075-645-8089,提供中,2006/10/1,2024/9/30,社会福祉法人フジの会,6128435,京都府京都市伏見区,深草泓ノ壺町３７の１,,075-641-7777
2621200019,なかまの家,6110002,京都府宇治市,木幡南山８０－５３,,0774-33-6160,0774-33-6160,提供中,2006/10/1,2024/9/30,社会福祉法人　宇治東福祉会,6110011,京都府宇治市,五ケ庄二番割5-2,,0774-32-2024
2621200027,栄仁会ぐるーぷほーむぴあ,6110011,京都府宇治市,五ヶ庄三番割３２－８,,0774-31-2500,0774-31-2500,提供中,2006/10/1,2026/9/30,医療法人栄仁会,6110011,京都府宇治市,五ケ庄三番割３２番地１,,0774-32-8111
2621400015,もくもくハウス,6190245,京都府相楽郡精華町,大字下狛小字中垣内６－１,,0774-94-4088,0773-77-5135,提供中,2006/10/1,2024/9/30,特定非営利活動法人プラッツ,6190241,京都府相楽郡精華町,精華台２丁目１０－１７,,0774-93-1969
2621600010,あゆみ荘,6210241,京都府亀岡市,宮前町猪倉城山8-18,,0771-24-2828,0771-24-2828,提供中,2006/10/1,2024/9/30,社会福祉法人亀岡福祉会,6210033,京都府亀岡市,薭田野町佐伯大門30-1,,0771-24-2596
2621600028,ホームたんぽぽ,6210033,京都府亀岡市,薭田野町佐伯大門52-1,,0771-24-2714,0771-24-2714,提供中,2006/10/1,2024/9/30,社会福祉法人亀岡福祉会,6210033,京都府亀岡市,薭田野町佐伯大門30-1,,0771-24-2596
2621600036,マイライフ松花苑ウェスト,6210018,京都府亀岡市,大井町小金岐北浦16,,0771-23-0703,0771-25-4654,提供中,2006/10/1,2024/9/30,社会福祉法人松花苑,6210018,京都府亀岡市,大井町小金岐北浦16,,0771-23-0703
2621600044,マイライフ松花苑イースト,6210803,京都府亀岡市,河原町200番地57,,0771-23-2101,0771-25-4634,提供中,2006/10/1,2024/9/30,社会福祉法人松花苑,6210018,京都府亀岡市,大井町小金岐北浦16,,0771-23-0703
2621600051,グループホームつつじ,6210833,京都府亀岡市,東つつじヶ丘曙台３丁目1-5,,0771-24-2194,,提供中,2006/10/1,2024/9/30,医療法人社団瀬尾医院,6210824,京都府亀岡市,篠町見晴一丁目8番3,,0771-22-0802
2621800016,グループホーム「ゆうゆう荘」,6230362,京都府綾部市,物部町岸田７番地,,0773-49-1182,,提供中,2006/10/1,2024/9/30,（福）綾部福祉会,6230362,京都府綾部市,物部町博労坂２６番地,,0773-49-0434
2622000012,ホームゆめおり,6292312,京都府与謝郡与謝野町,字四辻１００４,,0772-43-0885,0772-44-1889,提供中,2006/10/1,2024/9/30,社会福祉法人よさのうみ福祉会,6292314,京都府与謝郡与謝野町,岩屋600-6,,050-35320601
2622100010,ホームすみれ,6260043,京都府宮津市,字惣３９９,,0772-22-3912,0772-20-4008,提供中,2006/10/1,2024/9/30,社会福祉法人よさのうみ福祉会,6292314,京都府与謝郡与謝野町,岩屋600-6,,050-35320601
2622600019,すまい・る,6201442,京都府福知山市,三和町千束方ヶ谷６６番地６０,,0773-58-2822,0773-58-2830,提供中,2006/10/1,2024/9/30,社会福祉法人福知山学園,6201442,京都府福知山市,三和町千束８３２,,0773-58-3644
2622600027,社会福祉法人みつみ福祉会グループホームきらり,6200878,京都府福知山市,字堀３４５－２０,,0773-23-1245,22-9150,提供中,2006/10/1,2024/9/30,社会福祉法人みつみ福祉会,6694132,兵庫県丹波市,春日町野村６５番地の１,,0795-75-0314
2622600043,グループホーム「福知山」,6200879,京都府福知山市,字荒木７０番地,,0773-22-2288,0773-22-0175,提供中,2006/10/1,2024/9/30,医療法人福知会,6200879,京都府福知山市,字堀小字大岩谷３３７４,,0773-22-2288
2622600050,ＹＯＵ・ゆう,6200846,京都府福知山市,字長田宿９７－１,,0773-27-5757,0773-27-2135,提供中,2006/10/1,2025/6/30,社会福祉法人福知山学園,6201442,京都府福知山市,三和町千束８３２,,0773-58-3644
2622700017,グループホームいぶき,6250021,京都府舞鶴市,字安岡１番２,,0773-66-2015,0773-66-2015,提供中,2006/10/1,2024/9/30,（福）みずなぎ学園,6250014,京都府舞鶴市,鹿原２０９－３,,0773-63-5030
2622700041,グループホームまいづる,6240912,京都府舞鶴市,字上安小字吉口１９２１,,0773-63-8040,0773-63-8050,提供中,2006/10/1,2024/9/30,（福）まいづる福祉会,6250133,京都府舞鶴市,平小字前田４０９－２,,0773-68-0600
2622800031,和みの家,6100113,京都府城陽市,中北石神５番地,,0774-54-2424,0774-54-2428,提供中,2006/10/1,2024/9/30,社会福祉法人　うめの木福祉会,6100116,京都府城陽市,奈島川原口１２番地,,0774-54-2424
2622900013,グループホームエスペリオ,6148365,京都府八幡市,男山金振６－６,,075-983-5763,075-983-5764,提供中,2006/10/1,2024/9/30,社会福祉法人　鳩ヶ峰福祉会,6148062,京都府八幡市,八幡清水井３０－３,,075-983-5763
2622900021,ばくはうす,6148056,京都府八幡市,八幡福禄谷１８６－８,,075-203-5786,075-203-5786,提供中,2006/10/1,2025/7/31,特定非営利活動法人ばくのいえ,6148056,京都府八幡市,八幡福禄谷１８６－８,,075-203-5786
2623000052,特定非営利活動法人乙訓やよい福祉会　グループホームかんな,6170826,京都府長岡京市,開田４丁目２２ー３,,075-956-7701,075-956-7701,提供中,2006/10/1,2025/9/30,特定非営利活動法人　乙訓やよい福祉会,6170837,京都府長岡京市,久貝２丁目２－１１,,075-952-9567
2623300015,共同生活住居「ほてい荘」,6293102,京都府京丹後市,網野町下岡854,,0772-72-2289,0772-72-2289,提供中,2006/10/1,2024/9/30,社会福祉法人あみの福祉会,6293101,京都府京丹後市,網野町網野5-7,,0772-79-2525
2623300023,佐濃ホーム,6293566,京都府京丹後市,久美浜町安養寺５８０－３,,0772-84-0622,0772-84-0622,提供中,2006/10/1,2024/9/30,社会福祉法人久美の浜福祉会,6293557,京都府京丹後市,久美浜町竹藤22-1,,0772-84-0759
2623400013,グループホームあけぼの荘,6220066,京都府南丹市,園部町南八田神垣内21,,0771-65-0238,0771-65-0239,提供中,2006/10/1,2024/9/30,社会福祉法人あけぼの学園,6220066,京都府南丹市,園部町南八田ノ田20,,0771-65-0238
2623400021,あしたーる風和里,6290312,京都府南丹市,日吉町上胡麻竹ヶ下11番地1,,0771-74-3366,0771-74-3377,提供中,2006/10/1,2024/9/30,社会福祉法人京丹波福祉会,6220051,京都府南丹市,園部町横田７号7番地,,0771-63-5053
2623400039,グループホームつぼみ,6220016,京都府南丹市,園部町河原町５号1-1,,0771-62-1494,,提供中,2006/10/1,2024/9/30,特定非営利活動法人船井ほのぼのかい,6220011,京都府南丹市,園部町上木崎町入道32,,0771-62-3249
2623400047,グループホームすいせん,6290165,京都府南丹市,八木町木原岼山10-11,,0771-43-0240,0771-43-0241,提供中,2006/10/1,2027/3/31,特定非営利活動法人はぴねすサポートセンター,6290152,京都府南丹市,八木町大藪小溝９番１,,0771-42-2200
2624000010,グループホーム西部支援センター,6158147,京都府京都市西京区,樫原平田町１－１５４,,075-382-3301,075-382-3302,提供中,2006/10/1,2024/9/30,社会福祉法人京都総合福祉協会,6060846,京都府京都市左京区,下鴨北野々神町２６番地,北山ふれあいセンター内,075-702-3730
2624100026,わかばグループホーム,6078068,京都府京都市山科区,音羽稲芝２１－１,,075-502-2822,075-502-2822,提供中,2006/10/1,2024/9/30,特定非営利活動法人　陽だまりクラブ共同作業所,6078153,京都府京都市山科区,東野百拍子町２５－６,,075-502-2822